"1","1","1"
"2","1","2"
"3","2","1"
"4","2","2"
"5","3","1"
"6","3","2"
"7","3","3"
"9","4","1"
"10","4","2"
"11","4","3"
"12","4","4"
"13","4","5"
"14","4","6"
"15","4","7"
"16","4","8"
"17","4","9"
"18","4","10"
"19","4","11"
"20","4","12"
"21","4","13"
"22","4","14"
"23","5","1"
"24","5","2"
"25","5","3"
"26","5","4"
"27","5","5"
"28","5","6"
"29","5","7"
"30","5","8"
"31","5","9"
"32","5","10"
"33","6","1"
"34","7","1"
"35","8","1"
"36","9","1"
"37","9","2"
"38","9","3"
"41","11","1"
"42","11","2"
"43","11","3"
"44","11","4"
"51","13","1"
"52","13","2"
"53","13","3"
"54","13","4"
"55","13","5"
"56","13","6"
"57","14","1"
"58","14","2"
"59","14","3"
"60","14","4"
"61","14","5"
"62","14","6"
"63","15","1"
"64","15","2"
"65","16","1"
"66","17","1"
"67","18","1"
"68","18","2"
"69","18","3"
"70","18","4"
"71","19","1"
"72","19","2"
"73","19","3"
"74","19","4"
"75","19","5"
"76","19","6"
"77","19","7"
"78","19","8"
"79","20","1"
"80","20","2"
"81","20","3"
"82","20","4"
"83","20","5"
"84","20","6"
"87","21","1"
"88","21","2"
"89","21","3"
"90","21","4"
"91","21","5"
"92","21","6"
"93","21","7"
"94","21","8"
"95","22","1"
"96","22","2"
"97","22","3"
"98","22","4"
"99","23","1"
"100","23","2"
"101","23","3"
"102","23","4"
"103","23","5"
"104","23","6"
"105","23","7"
"106","23","8"
"107","24","1"
"108","24","2"
"109","25","1"
"110","25","2"
"111","26","1"
"112","26","2"
"113","27","1"
"114","28","1"
"115","29","1"
"116","30","1"
"117","31","1"
"118","32","1"
"119","33","1"
"120","33","2"
"121","33","3"
"122","33","4"
"123","34","1"
"124","34","2"
"125","34","3"
"126","34","4"
"127","35","1"
"128","35","2"
"129","35","3"
"130","35","4"
"131","35","5"
"132","35","6"
"133","36","1"
"134","36","2"
"135","36","3"
"136","36","4"
"137","37","1"
"138","37","2"
"139","37","3"
"140","37","4"
"141","37","5"
"142","37","6"
"143","38","1"
"144","38","2"
"145","38","3"
"146","38","4"
"147","38","5"
"148","38","6"
"149","39","1"
"150","39","2"
"151","39","3"
"152","39","4"
"153","39","5"
"154","39","6"
"155","40","1"
"156","40","2"
"157","40","3"
"158","40","4"
"159","40","5"
"160","40","6"
"161","41","1"
"162","41","2"
"163","41","3"
"164","41","4"
"165","41","5"
"166","41","6"
"167","42","1"
"168","42","2"
"169","42","3"
"170","42","4"
"171","43","1"
"172","43","2"
"173","43","3"
"174","43","4"
"175","43","5"
"176","43","6"
"177","43","7"
"178","43","8"
"179","43","9"
"180","43","10"
"181","43","11"
"182","43","12"
"183","43","13"
"184","43","14"
"185","43","15"
"186","43","16"
"187","43","17"
"188","44","1"
"189","5","11"
"190","5","12"
"191","5","13"
"192","5","14"
"194","44","2"
"195","45","1"
"196","45","2"
"197","9","4"
"198","9","5"
"199","9","6"
