"1", "Pelajar"
"2", "Mahasiswa"
"3", "Wiraswasta"
"4", "Pegawai Negeri (PNS)"
"5", "TNI"
"6", "POLRI"
"7", "Pensiunan"
"8", "Ibu Rumah Tangga"
"9", "Profesional"
"10", "Karyawan Swasta"
"11", "Pemuka Agama"
"12", "Lainnya"
"13", "Tidak Bekerja"
