"17","102"
"17","103"
"17","104"
"17","105"
"17","106"
"17","107"
"17","108"
"17","109"
"17","92"
"17","110"
"17","111"
"17","112"
"17","113"
"17","114"
"17","115"
"17","116"
"17","117"
"17","118"
"17","119"
"17","93"
"17","120"
"17","121"
"17","122"
"17","123"
"17","124"
"17","125"
"17","126"
"17","127"
"17","128"
"17","129"
"17","94"
"17","130"
"17","131"
"17","132"
"17","133"
"17","134"
"17","135"
"17","136"
"17","137"
"17","138"
"17","139"
"17","95"
"17","140"
"17","141"
"17","142"
"17","143"
"17","144"
"17","145"
"17","146"
"17","147"
"17","148"
"17","149"
"17","96"
"17","150"
"17","151"
"17","152"
"17","153"
"17","154"
"17","155"
"17","156"
"17","157"
"17","158"
"17","159"
"17","97"
"17","160"
"17","161"
"17","162"
"17","163"
"17","164"
"17","165"
"17","166"
"17","167"
"17","168"
"17","169"
"17","98"
"17","170"
"17","171"
"17","172"
"17","392"
"17","393"
"17","394"
"17","99"
"3","397"
"5","202"
"5","211"
"5","212"
"5","213"
"5","214"
"5","215"
"5","216"
"5","217"
"5","218"
"18","398"
"18","399"
"18","400"
"18","401"
"18","402"
"18","403"
"18","404"
"18","405"
"18","406"
"18","407"
"18","408"
"18","409"
"18","410"
"18","411"
"18","412"
"18","413"
"18","414"
"18","415"
"18","416"
"18","417"
"18","418"
"18","419"
"18","420"
"18","178"
"18","421"
"18","422"
"18","423"
"18","424"
"18","425"
"18","426"
"18","427"
"18","428"
